topic,method,sample_index,ratio,time_usec,decompress_usec,uncompressed_MB,compressed_MB,compressed_zstd_MB
/os_cloud_node/points_decim_1,LZ4 only,61,0.520868,27732,2635,6,3.12521,
/os_cloud_node/points_decim_1,LZ4 only,62,0.523539,25840,2508,6,3.14123,
/os_cloud_node/points_decim_1,LZ4 only,63,0.537561,27116,2591,6,3.22537,
/os_cloud_node/points_decim_1,LZ4 only,64,0.535974,27291,2554,6,3.21585,
/os_cloud_node/points_decim_1,LZ4 only,65,0.533769,29073,2630,6,3.20261,
/os_cloud_node/points_decim_1,LZ4 only,66,0.532483,26154,2456,6,3.1949,
/os_cloud_node/points_decim_1,LZ4 only,67,0.52899,27339,2532,6,3.17394,
/os_cloud_node/points_decim_1,LZ4 only,68,0.524954,27455,2494,6,3.14972,
/os_cloud_node/points_decim_1,LZ4 only,69,0.521818,24844,2326,6,3.13091,
/os_cloud_node/points_decim_1,LZ4 only,70,0.523115,25779,2370,6,3.13869,
/os_cloud_node/points_decim_1,LZ4 only,71,0.523179,27127,2462,6,3.13907,
/os_cloud_node/points_decim_1,LZ4 only,72,0.522188,27091,2486,6,3.13313,
/os_cloud_node/points_decim_1,LZ4 only,73,0.524665,27356,2527,6,3.14799,
