data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
cloister,draco,5502160384.0,6.0,3.0,18.0,5.1,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5502160384.0,6.0,6.0,18.0,5.1,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,6.0,9.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,9.0,0.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,9.0,3.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,9.0,6.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,5588947028.0,9.0,9.0,18.0,5.2,KISS-ICP,0.4484267511803838,0.3435822734891899,0.2679287703111671,0.2881627535234096,0.0242551127268734,2.293411505137291,560.4282181224783
cloister,draco,4372371276.0,0.0,0.0,18.0,4.1,KISS-ICP,0.8457363467015867,0.4489573131880039,0.2820116755982971,0.7167337714013169,0.0199246717962267,5.205939622378161,1993.4574011842924
cloister,draco,4372371276.0,0.0,3.0,18.0,4.1,KISS-ICP,0.8457363467015867,0.4489573131880039,0.2820116755982971,0.7167337714013169,0.0199246717962267,5.205939622378161,1993.4574011842924
cloister,draco,4372371276.0,3.0,0.0,18.0,4.1,KISS-ICP,0.8457363467015867,0.4489573131880039,0.2820116755982971,0.7167337714013169,0.0199246717962267,5.205939622378161,1993.4574011842924
cloister,draco,4372371276.0,3.0,3.0,18.0,4.1,KISS-ICP,0.8457363467015867,0.4489573131880039,0.2820116755982971,0.7167337714013169,0.0199246717962267,5.205939622378161,1993.4574011842924
cloister,draco,6137414384.0,0.0,6.0,20.0,5.7,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6222531168.0,0.0,9.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6137414384.0,3.0,6.0,20.0,5.7,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6222531168.0,3.0,9.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6137414384.0,6.0,0.0,20.0,5.7,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6137414384.0,6.0,3.0,20.0,5.7,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6137414384.0,6.0,6.0,20.0,5.7,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
