data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
cloister,draco,4298244352,10,10,10,4.0
maths_institute,draco,3262010796,9,3,12,
underground_mine,draco,3296974424,6,0,20,3.1
underground_mine,draco,3334737900,9,3,20,3.1
stairs,draco,1559473360,10,10,9,1.5
cloister,draco,4618507360,3,3,20,4.3
DIAG,cloudini,30180657669,,,0.1,
stairs,draco,1829479576,0,3,20,1.7
maths_institute,cloudini,3623757100,,,0.4,3.4
Campus,cloudini,9670856743,,,0.1,
cloister,draco,4312582484,0,6,12,4.0
Pincio,cloudini,36209826168,,,0.001,
stairs,draco,1631601144,10,10,11,1.5
stairs,draco,1506243448,0,3,14,1.4
stairs,draco,1540786372,10,10,8,1.4
cloister,draco,4372371276,0,3,18,4.1
Ciampino,cloudini,28469449869,,,0.001,
underground_mine,draco,2221465936,10,10,10,2.1
underground_mine,draco,2306068904,6,9,12,2.2
stairs,cloudini,1820910082,,,0.5,
stairs,uncompressed,7487152750,,,,
cloister,cloudini,5274888252,,,0.001,
maths_institute,draco,3985163396,9,3,18,
stairs,draco,1689801728,0,9,12,1.6
stairs,draco,1639784952,6,3,12,1.5
stairs,draco,1856494360,6,9,14,1.7
maths_institute,cloudini,4086275272,,,0.001,
cloister,draco,4665217692,9,9,14,4.4
DIAG,draco,26617915038,10,10,8,
underground_mine,draco,3296974424,6,6,20,3.1
cloister,draco,4372371276,0,0,18,4.1
stairs,draco,2046464400,6,6,16,1.9
underground_mine,cloudini,2517914200,,,0.01,
maths_institute,draco,3106625776,3,0,20,
cloister,uncompressed,17541329300,,,,
stairs,draco,2331260700,6,3,18,2.2
Pincio,cloudini,32923765220,,,0.2,
quad_easy,draco,3147277622,10,10,11,2.9
cloister,draco,5502160384,3,6,18,5.1
park,cloudini,29741233846,,,0.001,
Campus,cloudini,11034365747,,,0.001,
cloister,draco,6222531168,3,9,20,5.8
underground_mine,draco,3006153248,9,9,18,2.8
park,draco,24930498628,10,10,14,
cloister,draco,4665217692,10,10,14,
cloister,draco,4418866988,9,6,12,4.1
stairs,draco,2091327408,0,9,16,2.0
Campus,cloudini,10153246387,,,0.01,
cloister,draco,6222531168,9,0,20,5.8
underground_mine,draco,2463703764,10,10,14,
cloister,draco,4665217692,3,9,14,4.4
underground_mine,draco,2697176524,6,9,16,2.5
maths_institute,draco,4365303836,9,9,20,
quad_easy,draco,3125809654,10,10,6,2.9
maths_institute,draco,2484387296,3,3,12,
cloister,draco,4560253196,6,0,14,4.3
quad_easy,cloudini,3381459151,,,0.5,
maths_institute,draco,2952693764,0,0,18,
park,cloudini,26133438518,,,0.5,
Pincio,draco,30858106496,10,10,14,
cloister,draco,4618507360,3,0,20,4.3
stairs,draco,1615157956,3,3,16,1.5
stairs,draco,1829479576,0,0,20,1.7
stairs,draco,1856494360,3,9,14,1.7
maths_institute,draco,3418576528,9,9,14,
cloister,draco,4418866988,9,9,12,4.1
stairs,draco,2046464400,6,0,16,1.9
Spagna,draco,35266522340,10,10,8,
maths_institute,draco,3164954616,10,10,6,3.0
maths_institute,draco,2484387296,3,0,12,
underground_mine,draco,2463703764,9,9,14,2.3
DIAG,cloudini,29685848049,,,0.2,
underground_mine,draco,2192356600,3,3,16,2.0
underground_mine,draco,2306068904,9,9,12,2.2
underground_mine,draco,2961161592,0,6,18,2.8
maths_institute,draco,3262010796,9,6,12,
maths_institute,draco,3656877248,6,9,16,
underground_mine,draco,2189688552,10,10,6,2.0
maths_institute,draco,2484387296,0,0,12,
cloister,draco,5048870492,9,9,16,4.7
stairs,draco,1615157956,0,3,16,1.5
Colosseo,cloudini,26037993371,,,0.2,
maths_institute,draco,3330458312,6,0,14,
DIAG,cloudini,32650949513,,,0.001,
cloister,draco,4418866988,0,9,12,4.1
cloister,draco,4418866988,6,9,12,4.1
maths_institute,draco,3656877248,0,9,16,
maths_institute,draco,3330458312,0,6,14,
maths_institute,cloudini,3718506612,,,0.1,3.5
stairs,draco,2371516800,9,0,18,2.2
stairs,draco,2371516800,3,9,18,2.2
DIAG,draco,27517378082,10,10,12,
Ciampino,draco,24751893750,10,10,8,
maths_institute,draco,3575436088,0,6,16,
cloister,draco,6222531168,9,3,20,5.8
stairs,draco,1856494360,9,3,14,1.7
quad_easy,cloudini,3618915007,,,0.01,
quad_easy,cloudini,3449910499,,,0.2,999.7
maths_institute,draco,3166077676,10,10,8,3.0
underground_mine,draco,2324557832,3,3,18,2.2
quad_easy,raw_packets,3172199660,,,,3.0
stairs,draco,2620009980,6,6,20,2.4
maths_institute,uncompressed,13590126000,,,,
stairs,draco,1809190320,6,6,14,1.7
cloister,draco,4957695480,6,6,16,4.6
cloister,draco,5048870492,9,0,16,4.7
maths_institute,draco,3656877248,9,0,16,
Pincio,cloudini,32620592168,,,0.5,
Campus,draco,9552981246,10,10,8,
maths_institute,uncompressed,13590126000,,,,
underground_mine,draco,2463703764,9,3,14,2.3
underground_mine,draco,2306068904,0,9,12,2.2
quad_easy,cloudini,3493667195,,,0.1,2.2
maths_institute,draco,3575436088,6,6,16,
stairs,draco,1809190320,6,0,14,1.7
stairs,draco,2654520880,6,9,20,2.5
stairs,draco,2091327408,9,0,16,2.0
cloister,draco,3869813952,3,0,14,3.6
quad_easy,draco,,3,6,16,3.2
quad_easy,draco,,9,6,20,3.9
quad_easy,draco,,9,3,14,3.1
quad_easy,draco,,3,9,18,3.6
